sentence,labels
"Wastes are contained and managed , not released .",['WASTE']
"Whenever nuclear waste is buried , risks are created for future generations , as there is no 100 % reliable way to store radioactive materials .",['WASTE']
"Radioactive Waste : The entire nuclear fuel chain , from mining to milling , processing , enrichment , fuel fabrication , and fuel irradiation in reactors , generates radioactive waste .",['WASTE']
Even low-level radioactive waste requires centuries to reach acceptable levels .,['WASTE']
"In the meantime , dry-cask storage can get us through the coming century , but those used fuel rods will remain a problem for at least another 9,900 years after that .",['WASTE']
Burying nuclear waste creates risks for future generations .,['WASTE']
"And it is incorrect to call it waste , because 95 percent of the potential energy is still contained in the used fuel after the first cycle .",['WASTE']
How long can we expect supplies of Uranium and nuclear energy to last ?,['RELIABILITY']
The globe is going to be an increasingly high-energy planet ... and [ emerging markets ] are going to demand the same baseload energy that industrialized countries are used to .,['RELIABILITY']
The best part is that this energy has a persistent supply .,['RELIABILITY']
Nuclear energy makes only a trivial contribution to world energy needs .,['RELIABILITY']
A nuclear power plant when in the mode of producing energy can run uninterrupted for even a year .,['RELIABILITY']
Fusion offers the potential for basically an inexhaustible source of energy .,['RELIABILITY']
"Uranium is a scarce resource , its supply is estimated to last only for the next 30 to 60 years depending on the actual demand .",['RELIABILITY']
Read CND ' s summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS']
"The accident at [ TMI-2 ] has already impaired the health and sense of well being of these individuals , as evidenced by their feelings of increased anxiety , tension and fear , a sense of helplessness and such physical disorders as skin rashes , aggravated ulcers , and skeletal and muscular problems .",['HEALTH_EFFECTS']
Low levels of radiation comparable to those received naturally in some places are not harmful .,['HEALTH_EFFECTS']
"True , but the level of radioactivity is very low & with normal engineering , they pose no threat to anyone .",['HEALTH_EFFECTS']
"If you lived within 50 miles of a nuclear power plant , you would receive an average radiation dose of about 0.01 millirem per year .",['HEALTH_EFFECTS']
The radiation from a reactor is tiny : about as much as that from our own bodies .,['HEALTH_EFFECTS']
"Nastya , from Belarus was only three years old when she was diagnosed with cancer of the uterus and lungs .",['HEALTH_EFFECTS']
Replacing coal to limit global warming should not be based on another toxic product .,['FOSSIL_FUELS']
"End all subsidies for fossil fuels and impose a greenhouse gas fee / tax to charge polluters for the damage they have created . """,['FOSSIL_FUELS']
"If abundance of cheap energy is available then that changes the landscape , we no longer need to insure future oil and coal supply , so no need to tear up other countries and pursuing these ends .",['FOSSIL_FUELS']
"However , each year the particle pollution caused by coal power plants claims about 7,500 lives in the United States .",['FOSSIL_FUELS']
"Coal and natural gas power plants discharge carbon dioxide into the air , which causes a number of environmental issues .",['FOSSIL_FUELS']
And it ’s a similar case for oil as it ’s virtually all used for transport - nuclear power ca n’t take its place .,['FOSSIL_FUELS']
"According to the World Health Organisation , worldwide fossil-fuel pollution is responsible for three million deaths a year . """,['FOSSIL_FUELS']
"“ Nuclear power is not a near-term solution to the challenge of climate change , ” writes Sharon Squassoni in the IAEA bulletin .",['ENVIRONMENTAL_IMPACT']
"But nuclear energy is n't really a zero-carbon system , since you still have to manufacture power plants , mine and enrich uranium , and transport processed fuelâ € ” all of which typically rely on CO2-emitting fuel sources .",['ENVIRONMENTAL_IMPACT']
"Perhaps most significantly , it will squander the resources necessary to implement meaningful climate change solutions .",['ENVIRONMENTAL_IMPACT']
"John Large , an international expert on nuclear power , has said that if a plane was flown into the nuclear waste storage tanks at Sellafield the whole of the English Midlands could be catastrophically contaminated .",['ENVIRONMENTAL_IMPACT']
"Wildlife has been flourishing there ( partly in the absence of humans , but clearly not harmed by the fallout ) , as described in Mary Mycio ’s book Wormwood Forest : A Natural History of Chernobyl .",['ENVIRONMENTAL_IMPACT']
"The direct effects of this action include release of low-level radiation , increased fog , and the release of warm water into the Susquehanna River , all of which effects the NRC has considered .",['ENVIRONMENTAL_IMPACT']
"Retrieved 1.24.08 : "" Nuclear power is not a clean energy source .",['ENVIRONMENTAL_IMPACT']
One of the interesting things about modern nuclear power in the US is that few really understand how it works day to day -- including most experts who are commenting to the media on the topic .,['PUBLIC_DEBATE']
The anti-uranium movement has used a wide variety of methods to inform and involve the community .,['PUBLIC_DEBATE']
"The thinking is that big corporations are motivated only to distort the truth , minimize legal exposure , withhold information , and to make money at the expense of the public good if necessary .",['PUBLIC_DEBATE']
"Respondent People Against Nuclear Energy ( PANE ) , an association of residents of the Harrisburg area who are opposed to further operation of either TMI reactor , responded to this invitation , contending that restarting TMI-1 would cause both severe psychological damage to persons living in the vicinity , and serious damage to the stability , cohesiveness , and well-being of neighboring communities .",['PUBLIC_DEBATE']
"Nuclear power goes against the will of the people : Ever since the Fukushima disaster in 2011 , the bulk of the Japanese public has been against nuclear energy .",['PUBLIC_DEBATE']
"Nuclear power is once again considered a prominent alternative , despite the disregard it was met with in the 1970s .",['PUBLIC_DEBATE']
"Opposing nuclear power can be done at different levels : education , community activities , rallies and civil disobedience to apply pressure within existing institutions , and at the same time efforts for long-term institutional change towards equality , participation and democracy .",['PUBLIC_DEBATE']
"This causes utilities to operate nuclear power plants in an up and down mode rather than their normal baseload operation , making them even less competitive .",['COSTS']
"In 2001 the Economist , a publication with its heart firmly in the camp of “ free-market ” capitalism wrote : “ Nuclear Power , once claimed to be too cheap to meter , is now too costly to matter . ”",['COSTS']
"Portability and Productivity • Because nuclear power produces an enormous amount of energy using a very small amount of fuel , its average production cost is just 1.87 cents per kilowatt hour .",['COSTS']
"Even if the cost of uranium goes up , the impact on the cost of power will be that much lower .",['COSTS']
"Nuclear plant construction runs over-time and over-budget "" The case against nuclear power "" .",['COSTS']
In other words : It is an illusion to build new nuclear power plants in a short time .,['COSTS']
* Low operating costs ( relatively ) .,['COSTS']
The U.S. department that would be in charge of such an operation is the same one that brought us the chaotic and ineffective evacuation of the much smaller city of New Orleans during the 2005 Hurricane Katrina debacle : the Department of Homeland Security .,['ENERGY_POLICY']
"Consequently , the government has to subsidize the costs .",['ENERGY_POLICY']
They say no one knows whats going to happen to the nuclear energy but if it ' s in a good place and no one does anything dangerous with the nuclear power it will be finePeople also say we will sell it to other countries for money I think that ' s a good idea because our country would have more money .,['ENERGY_POLICY']
A major reason that government favours this form seems to be due to vast amounts of money and effort being put into lobbying by the power companies .,['ENERGY_POLICY']
"If the industry disappears here , it will be very difficult to rebuild as China and Russia becomes world leaders in nuclear technology .",['ENERGY_POLICY']
"In sum , there is a case for government intervention to improve the economic competitiveness of nuclear plants and avoid early closures .",['ENERGY_POLICY']
"The social structures which favour and in turn are favoured by nuclear power include capitalism , patriarchy , the intellectual division of labour and the state .",['ENERGY_POLICY']
Let ’s not exclude clean and safe nuclear energy .,['ACCIDENTS/SECURITY']
In the light of the twin towers atrocity this is a completely unacceptable risk .,['ACCIDENTS/SECURITY']
"There are now many hundreds of reactor years of experience , and Chernobyl was the only accident that injured the public .",['ACCIDENTS/SECURITY']
"We need a safe , genuinely sustainable , global and green solution to our energy needs , not a dangerous diversion like nuclear power .",['ACCIDENTS/SECURITY']
Secondly there are some downs the downs are if a earthquake happens or tsunami happens the power plant will have a explosion and if we have a meltdown which radiation zone .,['ACCIDENTS/SECURITY']
A similar accident happened in Japan in 2011 after a tsunami hit the Fukushima Nuclear Power Plant .,['ACCIDENTS/SECURITY']
Such a terrorist act would have catastrophic effects for the whole world .,['ACCIDENTS/SECURITY']
"Do we really want to invest in more fission technology , LFTR and similar , when LENR do not have these problems ?",['TECHNOLOGICAL_INNOVATION']
Even with only 0.1 % loss and a 10 day cycle something like 2 / 3 of the thorium would end up in the wast .,['TECHNOLOGICAL_INNOVATION']
"There are technological innovations in the wings at the moment that will make it much quicker to build nuclear power stations , he said .",['TECHNOLOGICAL_INNOVATION']
The fuel salt is not suited for long term or intermediate storage : like in the MSRE reactor experiment it would disintegrate and very likely get set free in case such a ship would sink .,['TECHNOLOGICAL_INNOVATION']
It ' s precisely the memories of Fukushima and the 1986 Chernobyl disaster that make thorium reactors seem appealing to some .,['TECHNOLOGICAL_INNOVATION']
"LFTR proponents are just getting a “ free ride ” at public expense , just like all the waste Tokomak fusion research ( 100 billion USD ) , that has not yet yielded any commercial fusion reactor design ?",['TECHNOLOGICAL_INNOVATION']
"Having studied many reports and original ORNL documents regarding LFTR , it turns out that LFTR is truly dreadful technology .",['TECHNOLOGICAL_INNOVATION']
The intimate connection between nuclear power production and nuclear weapons is inescapable .,['WEAPONS']
The local fuel processing of the breeder and burner configurations eliminates the possibility of diversion during transport .,['WEAPONS']
Citizens do not want nuclear weapons because they know they are insanely dangerous and what they want is to live without the threat of sudden and complete annihilation hanging over them and their children at all times .,['WEAPONS']
Reprocessing spent fuel gives rise to plutonium which is likely to be used in bombs .,['WEAPONS']
"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",['WEAPONS']
"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS']
People around the world stood aghast at the apocalyptic destruction wreaked on Japan during a few hellish minutes when the United States dropped the nuclear bombs Little Boy and Fat Man on the cities of Hiroshima and Nagasaki .,['WEAPONS']
It remains up to nuclear and renewable energies to fill the gap .,['RENEWABLES']
"[ ... ] Renewable energy , on the other hand , is the cleanest , safest and most reliable form of power generation . """,['RENEWABLES']
Even the much heralded solar energy has the potential to be incorporated into these structures if it develops in certain ways .,['RENEWABLES']
Nuclear energy will compete with and squeeze out renewable energy .,['RENEWABLES']
"The world can be powered by wind , water and sun alone .",['RENEWABLES']
"Similarly , wind power generates no waste and can sustain our planet for millenia to come .",['RENEWABLES']
"When there are so many cheaper , safer , cleaner and more sustainable alternatives , why the debate ?",['RENEWABLES']
